Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Diego Alves,br BRA,GK,Flamengo,36,1985,5,5,424,4.7,8,1.70,17,9,58.8,2,0,2,1,20.0,1,1,0,0,0.0,Matches,12421a7c
2,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17,17,1530,17.0,16,0.94,73,55,83.6,8,4,5,5,29.4,5,4,1,0,20.0,Matches,7fbe8689
3,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,7fbe8689
4,Anderson,br BRA,GK,Atl Paranaense,23,1998,5,5,450,5.0,10,2.00,30,20,66.7,1,2,2,2,40.0,0,0,0,0,,Matches,29d862d4
5,Bento,br BRA,GK,Atl Paranaense,22,1999,33,33,2970,33.0,38,1.15,140,102,75.0,15,8,10,11,33.3,4,3,1,0,25.0,Matches,5d699228
6,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13,13,1170,13.0,18,1.38,60,43,73.3,2,5,6,3,23.1,3,2,0,1,0.0,Matches,069cb4f8
7,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,55196057
8,João Carlos,br BRA,GK,Cuiabá,33,1988,11,10,951,10.6,16,1.51,49,32,71.4,2,2,6,1,10.0,3,2,1,0,33.3,Matches,ad9e7995
9,Cássio,br BRA,GK,Corinthians,34,1987,34,34,3059,34.0,28,0.82,133,106,83.5,16,10,7,14,41.2,6,6,0,0,0.0,Matches,d42f6326
10,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25,25,2250,25.0,26,1.04,116,89,79.3,11,5,9,9,36.0,5,2,2,1,50.0,Matches,8470f026
11,Daniel,br BRA,GK,Internacional,27,1994,23,23,2070,23.0,21,0.91,93,72,78.5,11,9,3,10,43.5,2,1,0,1,0.0,Matches,636fc976
12,Diego,br BRA,GK,Atl Goianiense,23,1998,2,2,180,2.0,2,1.00,10,8,80.0,0,2,0,0,0.0,0,0,0,0,,Matches,6b023405
13,Diego,br BRA,GK,Botafogo (RJ),23,1998,2,2,180,2.0,2,1.00,6,4,66.7,1,1,0,0,0.0,0,0,0,0,,Matches,6b023405
14,Matheus Donelli,br BRA,GK,Corinthians,19,2002,3,2,181,2.0,6,2.98,14,8,57.1,0,0,2,0,0.0,0,0,0,0,,Matches,7c736064
