Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,b9887ae0
2,Dirk Abels,nl NED,DFMF,Sparta R'dam,24,1997,32.2,65,39,27,33,5,37,72,51.4,35,32,10,22,49,114,112,0,Matches,3c3bd200
3,Zakaria Aboukhlal,ma MAR,FWMF,AZ Alkmaar,21,2000,9.1,13,10,4,4,5,5,13,38.5,8,15,0,15,6,19,3,0,Matches,c2a6033c
4,Paulos Abraham,se SWE,FWMF,Groningen,19,2002,15.0,17,10,2,9,6,7,38,18.4,31,20,0,20,5,22,4,0,Matches,fd99de9d
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,32,13,23,7,2,15,23,65.2,8,28,15,13,49,81,91,1,Matches,be98fc34
6,Luka Adžić,rs SRB,FWMF,Zwolle,22,1998,8.1,6,5,2,3,1,1,14,7.1,13,5,0,5,3,9,3,0,Matches,e3207d47
7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,7,5,3,4,0,5,6,83.3,1,0,0,0,2,9,2,0,Matches,b4706f20
8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,13,7,1,6,6,3,19,15.8,16,13,0,13,6,19,1,1,Matches,d9a0abd6
9,Hamdi Akujobi,nl NED,DFFW,Heerenveen,21,2000,1.6,4,2,3,1,0,1,1,100.0,0,3,0,3,3,7,8,1,Matches,0b524c25
10,Pontus Almqvist,se SWE,FWMF,Utrecht,22,1999,2.9,3,3,1,2,0,3,8,37.5,5,3,1,2,3,6,1,0,Matches,0917188a
11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,63,40,27,31,5,34,58,58.6,24,38,15,23,43,106,53,2,Matches,8b3ab7ad
12,Mohamed Amissi,bi BDI,FWMF,Heracles Almelo,20,2000,1.4,4,3,0,3,1,0,1,0.0,1,1,0,1,0,4,0,0,Matches,52b0c182
13,Djavan Anderson,nl NED,DFMF,Zwolle,26,1995,11.4,12,5,6,3,3,4,11,36.4,7,9,4,5,11,23,19,0,Matches,ca241ad3
14,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,48,32,36,10,2,22,39,56.4,17,45,34,11,47,95,121,0,Matches,41a1a2c8
15,Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,30.3,39,22,18,20,1,14,45,31.1,31,28,7,21,41,80,28,0,Matches,2d368fd5
16,Antony,br BRA,FW,Ajax,21,2000,19.2,22,11,3,11,8,11,34,32.4,23,17,1,16,12,34,4,0,Matches,99127249
17,Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,2.3,1,0,0,1,0,1,2,50.0,1,0,0,0,2,3,1,0,Matches,9c8f641a
18,Adil Auassar,nl NED,DFMF,Sparta R'dam,34,1986,27.5,45,26,25,19,1,18,43,41.9,25,32,20,12,47,92,113,0,Matches,ddb76359
19,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,1.6,1,0,1,0,0,0,2,0.0,2,4,1,3,2,3,3,0,Matches,dfb64760
20,Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,27.6,56,34,17,33,6,28,52,53.8,24,39,13,26,35,91,43,0,Matches,f0677ed7
21,Aventis Aventisian,gr GRE,DF,Go Ahead Eag,18,2002,0.0,1,1,1,0,0,0,0,,0,1,0,1,1,2,1,0,Matches,450bb001
22,Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,18.6,34,21,12,20,2,16,53,30.2,37,27,5,22,18,52,22,1,Matches,ce81d82d
23,Ismail Azzaoui,be BEL,FWMF,Heracles Almelo,23,1998,4.8,12,8,6,5,1,9,15,60.0,6,11,1,10,2,14,2,0,Matches,272cfd72
24,Aliou Badara Baldé,sn SEN,FW,Feyenoord,18,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,7362a6f2
25,Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,21,2000,14.5,10,6,3,6,1,4,13,30.8,9,15,1,14,2,12,2,0,Matches,3b216df2
26,Samy Baghdadi,fr FRA,FWMF,Fortuna Sittard,24,1997,4.8,14,5,3,9,2,9,15,60.0,6,11,1,10,4,18,6,0,Matches,ab4dc365
27,Saïd Bakari,km COM,DFMF,RKC Waalwijk,26,1994,26.3,47,21,26,16,5,26,48,54.2,22,24,3,21,24,71,47,2,Matches,3a0fbf82
28,Johan Bakayoko,be BEL,FW,PSV Eindhoven,18,2003,0.4,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,1,0,Matches,0caa2fd4
29,Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,5.4,14,8,8,6,0,7,22,31.8,15,9,2,7,9,23,17,0,Matches,216d25a3
30,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,17.0,8,5,1,7,0,3,8,37.5,5,13,1,12,8,16,9,0,Matches,5d613204
31,Justin Bakker,nl NED,DF,Go Ahead Eag,23,1998,8.2,7,3,4,2,1,4,7,57.1,3,8,6,2,5,12,30,1,Matches,b0d187a8
32,Nick Bakker,nl NED,DF,Heerenveen,29,1992,18.2,20,13,15,5,0,13,18,72.2,5,24,14,10,22,42,61,0,Matches,c62e8074
33,Remco Balk,nl NED,FWMF,Utrecht,20,2001,5.0,8,3,4,2,2,4,8,50.0,4,6,0,6,2,10,4,0,Matches,e685ff44
34,Alex Bangura,sl SLE,DF,Cambuur,22,1999,26.8,57,34,40,13,4,24,37,64.9,13,22,9,13,29,86,54,0,Matches,c47e09ba
35,Naoufal Bannis,nl NED,MFFW,Feyenoord,19,2002,0.2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,0658de43
36,Yusuf Barasi,tr TUR,FW,AZ Alkmaar,18,2003,0.6,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches,5c0466ba
37,Édgar Barreto,py PAR,MFDF,NEC Nijmegen,37,1984,13.8,41,22,27,10,4,30,57,52.6,27,28,8,20,27,68,33,1,Matches,43a1bea5
38,Bilal Başaçıkoğlu,tr TUR,FWMF,Heracles Almelo,26,1995,16.4,42,27,18,17,7,11,45,24.4,34,16,3,13,10,52,10,0,Matches,b9052bad
39,Cole Bassett,us USA,MFDF,Feyenoord,20,2001,1.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches,2c8da8a1
