Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22,22,1980,22.0,22,1.00,67,46,73.1,14,3,5,9,40.9,4,4,0,0,0.0,Matches,53d93280
2,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22,22,1980,22.0,29,1.32,96,67,71.9,7,4,11,5,22.7,5,2,2,1,50.0,Matches,663e080e
3,Pieter Bos,nl NED,GK,Cambuur,24,1997,6,5,459,5.1,11,2.16,42,31,73.8,0,0,5,0,0.0,0,0,0,0,,Matches,6718689b
4,Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,27,1993,34,34,3060,34.0,52,1.53,164,112,70.1,10,8,16,10,29.4,4,3,1,0,25.0,Matches,b74a2c78
5,Jorn Brondeel,be BEL,GK,Willem II,27,1993,2,2,104,1.2,1,0.87,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches,f456c788
6,Koen Bucker,nl NED,GK,Heracles Almelo,25,1996,12,12,1080,12.0,20,1.67,75,55,73.3,2,3,7,3,25.0,0,0,0,0,,Matches,1da4fe81
7,Joel Castro Pereira,pt POR,GK,RKC Waalwijk,25,1996,2,2,180,2.0,3,1.50,9,6,77.8,1,0,1,1,50.0,1,1,0,0,0.0,Matches,881e5db7
8,Tim Coremans,nl NED,GK,Sparta R'dam,30,1991,3,3,270,3.0,4,1.33,13,11,69.2,0,2,1,1,33.3,0,0,0,0,,Matches,4c0199a5
9,Jeffrey De Lange,nl NED,GK,Twente,23,1998,2,2,180,2.0,5,2.50,11,6,54.5,1,0,1,1,50.0,0,0,0,0,,Matches,c31cf14b
10,Connor van den Berg,nl NED,GK,Willem II,20,2001,1,0,74,0.8,0,0.00,6,6,100.0,0,0,0,1,,0,0,0,0,,Matches,5c48b25f
11,Joel Drommel,nl NED,GK,PSV Eindhoven,24,1996,26,26,2340,26.0,32,1.23,77,47,58.4,20,2,4,7,26.9,0,0,0,0,,Matches,510c6a3f
12,Jay Gorter,nl NED,GK,Ajax,21,2000,1,1,90,1.0,2,2.00,6,4,66.7,0,1,0,0,0.0,0,0,0,0,,Matches,e0ee850b
13,Warner Hahn,sr SUR,GK,Go Ahead Eag,29,1992,19,19,1710,19.0,31,1.63,106,75,74.5,6,3,10,5,26.3,4,4,0,0,0.0,Matches,4117e3f3
14,Jeroen Houwen,nl NED,GK,Vitesse,25,1996,15,15,1305,14.5,24,1.66,64,41,65.6,6,2,5,2,13.3,2,2,0,0,0.0,Matches,6d8ec266
15,Fabian de Keijzer,nl NED,GK,Utrecht,21,2000,14,14,1214,13.5,17,1.26,58,42,74.1,4,4,5,2,14.3,2,2,0,0,0.0,Matches,fdfc9ace
16,Kostas Lamprou,gr GRE,GK,Zwolle,29,1991,34,34,3060,34.0,52,1.53,175,126,72.0,7,6,21,6,17.6,4,3,0,1,0.0,Matches,f9508440
17,Benjamin van Leer,nl NED,GK,Sparta R'dam,29,1992,2,1,157,1.7,4,2.29,12,8,75.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,0df43081
18,Peter Leeuwenburgh,nl NED,GK,Groningen,27,1994,34,34,3060,34.0,55,1.62,162,109,67.3,9,9,16,4,11.8,2,2,0,0,0.0,Matches,b7135640
19,Issam El Maach,ma MAR,GK,RKC Waalwijk,21,2000,1,1,90,1.0,3,3.00,14,11,85.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches,30bbed87
20,Ofir Marciano,il ISR,GK,Feyenoord,31,1989,12,12,1080,12.0,12,1.00,40,28,70.0,8,2,2,4,33.3,0,0,0,0,,Matches,00d4e7b3
21,Xavier Mous,nl NED,GK,Heerenveen,25,1995,16,15,1395,15.5,20,1.29,69,50,73.9,4,3,8,3,20.0,2,2,0,0,0.0,Matches,76609a3c
22,Erwin Mulder,nl NED,GK,Heerenveen,32,1989,19,19,1665,18.5,30,1.62,81,50,69.1,7,5,6,5,26.3,6,5,1,0,16.7,Matches,b3576b7c
23,Yvon Mvogo,ch SUI,GK,PSV Eindhoven,27,1994,8,8,720,8.0,10,1.25,38,28,78.9,6,1,1,2,25.0,2,2,0,0,0.0,Matches,dc29b608
24,Andries Noppert,nl NED,GK,Go Ahead Eag,27,1994,15,15,1350,15.0,20,1.33,73,54,72.6,4,3,8,3,20.0,0,0,0,0,,Matches,2dc9d6fb
25,Eric Oelschlägel,de GER,GK,Utrecht,25,1995,4,3,316,3.5,6,1.71,16,11,62.5,0,2,1,1,33.3,0,0,0,0,,Matches,dbb329c6
26,Maduka Okoye,ng NGA,GK,Sparta R'dam,21,1999,30,30,2633,29.3,40,1.37,135,94,73.3,8,9,12,6,20.0,5,4,1,0,20.0,Matches,ab5c36dd
27,André Onana,cm CMR,GK,Ajax,25,1996,6,6,540,6.0,10,1.67,18,8,44.4,5,0,1,0,0.0,0,0,0,0,,Matches,e9c0c1b2
28,Yanick van Osch,nl NED,GK,Fortuna Sittard,24,1997,32,32,2880,32.0,63,1.97,190,127,67.4,10,5,17,8,25.0,2,1,1,0,50.0,Matches,f1655231
29,Maarten Paes,nl NED,GK,Utrecht,23,1998,17,17,1530,17.0,23,1.35,67,44,67.2,8,4,5,5,29.4,2,1,1,0,50.0,Matches,eb343262
30,Remko Pasveer,nl NED,GK,Ajax,37,1983,20,20,1800,20.0,4,0.20,41,37,90.2,16,2,2,17,85.0,0,0,0,0,,Matches,3392603d
31,Robbin Ruiter,nl NED,GK,Willem II,34,1987,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,Matches,911680d8
32,Markus Schubert,de GER,GK,Vitesse,23,1998,20,19,1755,19.5,27,1.38,72,46,66.7,8,4,7,6,31.6,3,3,0,0,0.0,Matches,289b90cd
33,Maarten Stekelenburg,nl NED,GK,Ajax,38,1982,7,7,630,7.0,3,0.43,13,10,76.9,5,2,0,5,71.4,0,0,0,0,,Matches,fefce889
34,Sonny Stevens,nl NED,GK,Cambuur,29,1992,29,29,2601,28.9,59,2.04,164,106,64.6,11,6,11,4,13.8,2,1,0,1,0.0,Matches,7566ef9b
35,Lars Unnerstall,de GER,GK,Twente,31,1990,32,32,2880,32.0,32,1.00,121,90,73.6,19,8,5,12,37.5,1,0,1,0,100.0,Matches,4b1793b0
36,Etienne Vaessen,nl NED,GK,RKC Waalwijk,26,1995,31,31,2790,31.0,45,1.45,154,108,73.4,8,11,12,5,16.1,6,4,1,1,20.0,Matches,5622d68b
37,Hobie Verhulst,nl NED,GK,AZ Alkmaar,28,1993,2,2,180,2.0,2,1.00,4,2,50.0,1,0,1,0,0.0,0,0,0,0,,Matches,9f82f7c2
38,Michael Verrips,nl NED,GK,Fortuna Sittard,24,1996,2,2,180,2.0,4,2.00,10,6,60.0,0,0,2,0,0.0,0,0,0,0,,Matches,424595d5
39,Peter Vindahl Jensen,dk DEN,GK,AZ Alkmaar,23,1998,32,32,2880,32.0,42,1.31,129,87,67.4,17,7,8,4,12.5,0,0,0,0,,Matches,7b433ed0
40,Timon Wellenreuther,de GER,GK,Willem II,25,1995,31,31,2790,31.0,52,1.68,146,96,65.8,8,5,18,6,19.4,3,2,0,1,0.0,Matches,2f18d0b8
