Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,26.5,74,45,44,28,2,46,75,61.3,29,36,14,22,43,117,103,0,Matches,088ae0d1
2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,8.6,22,13,8,13,1,6,25,24.0,19,9,3,6,8,30,8,0,Matches,0921a46c
3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33.0,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,11,0,Matches,65d62814
4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,0.2,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,Matches,e40bdb5d
5,João Afonso,pt POR,DF,Santa Clara,31,1990,12.4,14,8,9,5,0,10,18,55.6,8,13,11,2,17,31,57,0,Matches,a8f07c8f
6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,10.7,4,2,2,2,0,2,5,40.0,3,13,10,3,12,16,40,1,Matches,8fd083bb
7,Salvador Agra,pt POR,FWMF,Tondela,29,1991,29.0,26,14,13,11,2,10,28,35.7,18,9,2,7,11,37,12,0,Matches,a130741a
8,Mohamed Aidara,ci CIV,DF,Vizela,24,1996,15.0,13,8,11,2,0,7,16,43.8,9,21,11,10,23,36,83,0,Matches,09c61cb2
9,Chima Akas,ng NGA,DF,B-SAD,27,1994,19.5,29,20,13,15,1,15,28,53.6,13,25,12,13,26,55,53,0,Matches,6187871f
10,Alex,br BRA,DF,Famalicão,22,1999,16.4,32,22,22,9,1,16,27,59.3,11,25,20,5,17,49,65,1,Matches,7367baf7
11,Almoatasembellah Ali,ly LBY,MF,Braga,25,1996,28.5,63,34,22,33,8,23,50,46.0,27,26,9,17,43,106,28,1,Matches,cd6a1a59
12,Ali Alipour,ir IRN,FW,Marítimo,25,1995,20.0,14,10,3,9,2,1,9,11.1,8,16,2,14,2,16,14,0,Matches,488ee64c
13,Allano,br BRA,FWMF,Santa Clara,26,1995,12.1,25,16,13,8,4,7,19,36.8,12,26,5,21,10,35,9,0,Matches,9c1245f8
14,André Almeida,pt POR,DF,Benfica,30,1990,8.9,18,9,6,8,4,10,18,55.6,8,12,3,9,3,21,11,0,Matches,67b3d74b
15,Domingos André Ribeiro Almeida,pt POR,MFFW,Vitória,21,2000,20.2,42,21,15,20,7,14,38,36.8,24,19,4,15,17,59,11,0,Matches,e6697917
16,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,0.7,1,0,0,1,0,1,1,100.0,0,0,0,0,3,4,4,0,Matches,dd83724a
17,Omri Altman,il ISR,MF,Arouca,27,1994,1.5,4,1,0,3,1,2,2,100.0,0,2,1,1,2,6,1,0,Matches,0afff3b7
18,Alejandro Alvarado Jr.,us USA,MFFW,Vizela,18,2003,0.7,4,4,0,4,0,3,3,100.0,0,0,0,0,0,4,1,0,Matches,14c93be3
19,Luís Alves,pt POR,DF,Paços,19,2001,3.4,11,6,8,3,0,8,15,53.3,7,1,1,0,6,17,6,0,Matches,2102b074
20,Marcelo Alves,br BRA,DF,Tondela,23,1998,8.1,6,5,5,1,0,3,5,60.0,2,13,11,2,6,12,32,0,Matches,29f81bd9
21,Ricardo Miguel Martins Alves,pt POR,DFMF,Tondela,30,1991,9.2,17,7,9,7,1,10,13,76.9,3,10,4,6,10,27,30,1,Matches,cc5eeb16
22,Pedro Amador,pt POR,MFDF,Moreirense,22,1998,13.3,25,13,19,5,1,13,22,59.1,9,14,3,11,22,47,25,0,Matches,00dad262
23,Amarildo,br BRA,DF,Famalicão,22,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,b5dd8abd
24,André Amaro,co COL,DF,Vitória,18,2002,6.3,8,6,8,0,0,6,10,60.0,4,6,3,3,6,14,19,0,Matches,cdb9b8f2
