Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33,33,2970,33.0,23,0.70,81,59,72.8,26,4,3,17,51.5,2,1,1,0,50.0,Matches,65d62814
2,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10,10,900,10.0,14,1.40,45,33,75.6,4,4,2,4,40.0,3,3,0,0,0.0,Matches,40406a00
3,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1,1,90,1.0,2,2.00,5,3,80.0,0,1,0,0,0.0,1,1,0,0,0.0,Matches,100104d1
4,Fernando Augusto,br BRA,GK,Arouca,24,1997,7,6,619,6.9,14,2.04,35,21,62.9,1,2,3,0,0.0,1,1,0,0,0.0,Matches,b8a82624
5,Alireza Beiranvand,ir IRN,GK,Boavista,28,1992,8,8,675,7.5,15,2.00,42,27,64.3,0,4,3,1,12.5,0,0,0,0,,Matches,6ca0b04a
6,Rafael Bracalli,br BRA,GK,Boavista,40,1981,27,26,2385,26.5,37,1.40,96,59,67.7,7,13,6,5,19.2,7,6,1,0,14.3,Matches,5f7d2dfe
7,Victor Braga,br BRA,GK,Arouca,29,1992,24,24,2077,23.1,33,1.43,98,64,68.4,5,7,11,4,16.7,4,2,2,0,50.0,Matches,871b35e7
8,Charles,br BRA,GK,Vizela,27,1994,14,14,1260,14.0,25,1.79,66,42,68.2,2,7,5,1,7.1,5,4,0,1,0.0,Matches,9dadc297
9,Diogo Costa,pt POR,GK,Porto,21,1999,33,33,2966,33.0,22,0.67,70,47,71.4,27,4,1,14,42.4,3,2,1,0,33.3,Matches,93fffbcf
10,Dalberson,br BRA,GK,Famalicão,24,1997,2,2,180,2.0,3,1.50,4,1,25.0,0,1,1,1,50.0,0,0,0,0,,Matches,f9a8ed14
11,Luiz Felipe,br BRA,GK,B-SAD,24,1997,32,32,2880,32.0,44,1.37,149,103,73.2,5,11,16,8,25.0,6,4,2,0,33.3,Matches,185084a1
12,Ricardo Fernandes,pt POR,GK,Santa Clara,26,1994,7,5,534,5.9,13,2.19,30,17,60.0,0,2,2,0,0.0,1,1,0,0,0.0,Matches,93d5feb6
13,André Ferreira,pt POR,GK,Paços,25,1996,32,32,2880,32.0,41,1.28,158,115,76.6,9,10,13,10,31.3,5,4,1,0,20.0,Matches,12c6cbef
14,Žiga Frelih,si SVN,GK,Gil Vicente FC,23,1998,19,19,1710,19.0,23,1.21,74,50,74.3,7,7,5,5,26.3,5,4,1,0,20.0,Matches,58bef7b2
15,Rodolfo Furtado,pt POR,GK,Santa Clara,23,1997,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,f5cc8631
16,Ivo Gonçalves,pt POR,GK,Vizela,37,1984,1,1,90,1.0,4,4.00,6,2,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,3f75e889
17,Norbert Haymamba,cm CMR,GK,Arouca,22,1999,3,3,270,3.0,7,2.33,10,4,40.0,1,0,2,0,0.0,1,1,0,0,0.0,Matches,8f63b5ef
18,Lukáš Horníček,cz CZE,GK,Braga,19,2002,1,1,90,1.0,3,3.00,11,8,72.7,0,0,1,0,0.0,0,0,0,0,,Matches,cc8312b4
19,Jeimes,br BRA,GK,Paços,20,2001,2,1,173,1.9,3,1.56,14,11,78.6,0,1,0,0,0.0,0,0,0,0,,Matches,a8f0414f
20,Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,20,2001,31,31,2790,31.0,46,1.48,131,85,69.5,8,11,12,8,25.8,8,6,2,0,25.0,Matches,d0530e29
21,Kewin,br BRA,GK,Moreirense,25,1995,15,15,1350,15.0,16,1.07,58,42,74.1,4,4,7,3,20.0,1,1,0,0,0.0,Matches,aea1afc8
22,Stanislav Kritsyuk,ru RUS,GK,Gil Vicente FC,30,1990,4,4,360,4.0,3,0.75,21,18,85.7,2,0,2,2,50.0,0,0,0,0,,Matches,b8798a46
23,Daniel Leite,pt POR,GK,Estoril,23,1998,24,24,2160,24.0,24,1.00,94,70,77.7,7,10,7,9,37.5,3,3,0,0,0.0,Matches,f7c68686
24,Helton Leite,br BRA,GK,Benfica,30,1990,2,2,180,2.0,0,0.00,5,5,100.0,2,0,0,2,100.0,0,0,0,0,,Matches,e8918589
25,Agustín Marchesín,ar ARG,GK,Porto,33,1988,1,0,4,0.0,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,853b7c48
26,Matheus,br BRA,GK,Braga,29,1992,32,32,2880,32.0,28,0.87,106,79,75.5,18,8,6,15,46.9,2,2,0,0,0.0,Matches,ef3909cd
27,Francisco Meixedo,pt POR,GK,Porto,20,2001,1,0,2,0.0,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,a671ae50
28,Mosquito,br BRA,GK,Estoril,25,1996,10,10,900,10.0,19,1.90,50,32,62.0,2,2,6,2,20.0,2,0,1,1,100.0,Matches,c9c55581
29,Kosuke Nakamura,jp JPN,GK,Portimonense,26,1995,2,2,180,2.0,2,1.00,10,8,80.0,1,0,1,1,50.0,0,0,0,0,,Matches,423daf87
30,Babacar Niasse,mr MTN,GK,Tondela,24,1996,6,5,463,5.1,14,2.72,31,17,61.3,0,0,5,0,0.0,2,2,0,0,0.0,Matches,5c8beb50
31,Payam Niazmand,ir IRN,GK,Portimonense,26,1995,2,2,180,2.0,8,4.00,18,10,61.1,0,0,2,0,0.0,1,1,0,0,0.0,Matches,7b2ed47e
32,Mateus Pasinato,br BRA,GK,Moreirense,29,1992,19,19,1710,19.0,35,1.84,83,48,62.7,3,4,12,1,5.3,4,4,0,0,0.0,Matches,f16f9b47
33,André Paulo,pt POR,GK,Sporting CP,24,1996,1,0,12,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,cbbd81b8
34,Marco André Rocha Pereira,pt POR,GK,Santa Clara,34,1987,29,29,2520,28.0,41,1.46,113,72,69.9,8,10,9,7,24.1,7,7,0,0,0.0,Matches,5cd73451
35,Samuel Portugal,br BRA,GK,Portimonense,27,1994,30,30,2700,30.0,35,1.17,131,98,74.0,9,8,13,9,30.0,1,1,0,0,0.0,Matches,554067e3
36,Álvaro Ramalho,pt POR,GK,B-SAD,22,1999,2,2,180,2.0,11,5.50,17,7,41.2,0,0,2,0,0.0,1,1,0,0,0.0,Matches,0fc0cee3
37,Cláudio Ramos,pt POR,GK,Porto,29,1991,1,1,88,1.0,,,1,1,,,,,,,,,,,,Matches,23505094
38,Tiago Sá,pt POR,GK,Braga,26,1995,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,fd834d1d
39,João Miguel Macedo Silva,pt POR,GK,Marítimo,26,1995,4,4,360,4.0,4,1.00,18,14,77.8,0,2,2,1,25.0,0,0,0,0,,Matches,1c98558c
40,Pedro José Moreira Silva,pt POR,GK,Vizela,24,1997,18,18,1620,18.0,29,1.61,82,54,70.7,5,5,9,1,5.6,6,5,0,1,0.0,Matches,f829f728
41,Pedro Trigueira,pt POR,GK,Tondela,33,1988,29,29,2597,28.9,53,1.84,157,105,70.1,7,7,14,2,6.9,6,6,0,0,0.0,Matches,00d19548
42,Matouš Trmal,cz CZE,GK,Vitória,22,1998,9,9,810,9.0,10,1.11,34,24,70.6,2,4,3,4,44.4,1,0,0,1,,Matches,393f7c58
43,Bruno Varela,pt POR,GK,Vitória,26,1994,25,25,2250,25.0,31,1.24,110,78,76.4,11,5,9,4,16.0,6,5,1,0,16.7,Matches,2bea06e0
44,Igor Vekič,si SVN,GK,Paços,23,1998,1,1,4,0.0,,,1,1,,,,,,,,,,,,Matches,fcc5a185
45,Paulo Victor Vidotti,br BRA,GK,Marítimo,34,1987,30,30,2699,30.0,39,1.30,137,96,75.9,9,9,11,8,26.7,9,6,2,1,25.0,Matches,68a3e731
46,João Virgínia,pt POR,GK,Sporting CP,21,1999,1,1,78,0.9,,,1,1,,,,,,,,,,,,Matches,728e9b2e
47,Odisseas Vlachodimos,gr GRE,GK,Benfica,27,1994,32,32,2880,32.0,30,0.94,104,74,72.1,21,5,6,10,31.3,2,1,1,0,50.0,Matches,03df04ff
48,Ivan Zlobin,ru RUS,GK,Famalicão,24,1997,1,1,90,1.0,2,2.00,6,4,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,d8fe652c
49,Emilijus Zubas,lt LTU,GK,Arouca,31,1990,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,5635834c
